Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) and STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"SA2 (EN)","STRD Dwelling Structure",
,"Flat or apartment in a four to eight storey block",200,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Bonner","Separate house",1944,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",90,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",206,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Casey","Separate house",1748,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",105,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",440,
,"Flat or apartment in a one or two storey block",5,
,"Flat or apartment in a three storey block",42,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Crace","Separate house",1222,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",18,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",256,
,"Flat or apartment in a one or two storey block",49,
,"Flat or apartment in a three storey block",97,
,"Flat or apartment in a four to eight storey block",136,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",5,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Forde","Separate house",1210,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",7,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",201,
,"Flat or apartment in a one or two storey block",8,
,"Flat or apartment in a three storey block",18,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Franklin","Separate house",1374,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",24,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",363,
,"Flat or apartment in a one or two storey block",70,
,"Flat or apartment in a three storey block",614,
,"Flat or apartment in a four to eight storey block",405,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",5,
,"Not applicable",0,
"Gungahlin","Separate house",1264,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",47,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",571,
,"Flat or apartment in a one or two storey block",31,
,"Flat or apartment in a three storey block",228,
,"Flat or apartment in a four to eight storey block",804,
,"Flat or apartment in a nine or more storey block",690,
